topic,probability,count,topic_words
-1.0,0.0,93,
0.0,0.8313736473239655,359,the and of to in for is namibia are that as on development with be
1.0,0.8473822592891377,185,30 198 178 158 159 192 191 99 189 188 187 184 183 182 180
2.0,0.9993851448535526,13,14 16 11 13 15 12 10        
3.0,0.7331528036429926,6,chapter preface six four two three one        
