topic,probability,count,topic_words
-1.0,0.0,1424,
0.0,0.8211734446702005,2691,the of and to in for south is africa on an th as per that
1.0,0.7804161335635006,118,              
2.0,0.9552520792803427,20,all for             
3.0,0.7601542478461324,20,12 10 14 15 and          
4.0,0.4161871088959681,12,essages main essage challeng es          
5.0,0.5443540444460001,12,an for             
6.0,0.8639425992589486,7,and              
7.0,0.9669506622635247,5,10              
