topic,probability,count
-1.0,0.0,12650
0.0,0.3478405795714855,1675
1.0,0.7939961927854641,1185
2.0,0.990343069751241,1137
3.0,0.9068397278146118,895
4.0,0.9487609625411391,750
5.0,0.8538353288882915,559
6.0,0.9138192027921749,519
7.0,0.6908571514406481,431
8.0,0.7067113493986241,297
9.0,0.8328822403875444,282
10.0,0.5894942935642161,264
11.0,0.9729942231329153,260
12.0,0.7374258324293935,232
13.0,0.8341133587071105,228
14.0,0.9267504671558682,220
15.0,0.8080002162697517,202
16.0,0.7630326557323753,201
17.0,0.9293374758148134,198
18.0,0.9055482447576062,189
19.0,0.7244969028652929,188
20.0,0.8207813135959322,177
21.0,0.7628457256269587,172
22.0,0.6533043444328928,171
23.0,0.73394587371336,163
24.0,0.7164677121844414,161
25.0,0.8669176250768766,154
26.0,0.694382258621173,154
27.0,0.9019033717864404,147
28.0,0.8857339002836295,142
29.0,0.8504749844872119,139
30.0,0.5958571736573494,132
31.0,0.9614699775039053,125
32.0,0.9534318139023831,123
33.0,0.7491210307978127,123
34.0,0.6566678285542592,115
35.0,0.8479956128276704,113
36.0,0.7600993093770078,109
37.0,0.649443745884402,108
38.0,0.6921136682251653,106
39.0,0.7737668872299233,101
40.0,0.7725627479195432,97
41.0,0.745767758091168,91
42.0,0.6489500527246505,90
43.0,0.902571709829332,90
44.0,0.6527847122651629,87
45.0,0.9715206723674176,86
46.0,0.7730136289696373,85
47.0,0.9079305846174279,85
48.0,0.6220462056900947,83
49.0,0.7586826415277428,83
50.0,0.7931298079004958,82
51.0,0.9450247812102837,82
52.0,0.8665759690408154,82
53.0,0.5944776741057395,82
54.0,0.5912475787968597,79
55.0,0.4384172039761032,78
56.0,0.5486261794067421,75
57.0,0.8417329209120862,75
58.0,0.7615669584320399,71
59.0,0.7487091378594695,70
60.0,0.5597200549753488,69
61.0,0.7083887543260236,68
62.0,0.5404130788904759,65
63.0,0.9039097680073426,63
64.0,0.877300058061219,63
65.0,0.834884373122499,63
66.0,0.7856243139929797,62
67.0,0.907603847887655,61
68.0,0.6063558814009407,61
69.0,0.4931920481053251,61
70.0,0.8553677020596258,59
71.0,0.7882994301100992,56
72.0,0.6704368484927886,55
73.0,0.6279872594785283,54
74.0,0.7305729594326509,52
75.0,0.8718176644065748,52
76.0,0.7330312198777552,51
77.0,0.6927516139159087,51
78.0,0.5223069643416627,50
79.0,0.5453481799085491,49
80.0,0.94346513625623,49
81.0,0.8569888139360724,49
82.0,0.645968295203575,49
83.0,0.6183545632938364,48
84.0,0.4741880935641105,48
85.0,0.5878170973312394,48
86.0,0.7066411411551455,47
87.0,0.6791270817826089,47
88.0,0.8017716182166553,46
89.0,0.5221503998446073,46
90.0,0.7996107666588352,45
91.0,0.9266894417215089,45
92.0,0.8783914358381469,45
93.0,0.9790709355615886,45
94.0,0.8706442042328028,44
95.0,0.7885911267134353,44
96.0,0.6315616617989047,43
97.0,0.74869981994433,41
98.0,0.9804133498751576,39
99.0,0.8789415544270275,39
100.0,0.6497668998640223,39
101.0,0.7582892537682928,39
102.0,0.653949865731004,39
103.0,0.672470805697085,39
104.0,0.8634860457251963,38
105.0,0.6012542969406334,38
106.0,0.6967048300725242,38
107.0,0.8025309408021147,38
108.0,0.47048219236502004,38
109.0,0.4563264492306655,37
110.0,0.481564691551973,37
111.0,0.8070836035231331,37
112.0,0.7660096937603932,37
113.0,0.6451744265641799,36
114.0,0.5538612268735901,36
115.0,0.6268875684837917,35
116.0,0.7906616788811489,35
117.0,0.9785152085342042,34
118.0,0.8523442207150201,34
119.0,0.689473897928723,34
120.0,0.4817431873972722,34
121.0,0.86300824554128,33
122.0,0.7702108692909867,33
123.0,0.9440697293935969,33
124.0,0.9527090891534326,33
125.0,0.9111794149023674,33
126.0,0.48420654358020226,32
127.0,0.8348635559834471,32
128.0,0.7450496221114826,32
129.0,0.8660637707623853,32
130.0,0.5073564500559365,32
131.0,0.5811917346509217,32
132.0,0.8823341991140761,32
133.0,0.8036235923366749,31
134.0,0.5697482559581857,31
135.0,0.7993332211654817,31
136.0,0.513314224931597,31
137.0,0.8477545164564001,31
138.0,0.7503777853482824,31
139.0,0.7183612124874966,31
140.0,0.7624248069888317,30
141.0,0.5212376989657408,30
142.0,0.76220737083877,30
143.0,0.7296713524948111,30
144.0,0.750243688241076,30
145.0,0.7061693164175961,29
146.0,0.6711247844054037,29
147.0,0.7128658276523734,29
148.0,0.7319286049840545,29
149.0,0.8127481253350508,29
150.0,0.8768782826129791,29
151.0,0.4830596729582427,29
152.0,0.6809140216193426,29
153.0,0.7139561759527208,28
154.0,0.8466176661895506,28
155.0,0.6665288307541767,28
156.0,0.9162730447371797,27
157.0,0.7564128163986423,27
158.0,0.8230646006034861,27
159.0,0.7643831907106107,27
160.0,0.9473422240029352,27
161.0,0.862223234467167,26
162.0,0.9453798617146301,26
163.0,0.7104113452053178,26
164.0,0.8771409656344885,26
165.0,0.9303979019233262,26
166.0,0.8850740791328621,26
167.0,0.9665992605265645,26
168.0,0.7810999453493837,25
169.0,0.8100129392297297,25
170.0,0.8511542558941723,25
171.0,0.8465261216810529,25
172.0,0.6422816678092095,25
173.0,0.7288243185461525,25
174.0,0.827016614526171,25
175.0,0.7848899435740706,25
176.0,0.6497830100938153,25
177.0,0.8858691673662772,25
178.0,0.9540687225396863,25
179.0,0.7892575978414569,25
180.0,0.7110796326546788,25
181.0,0.8684071878069964,25
182.0,0.8549502965418608,25
183.0,0.9412194104381559,25
184.0,0.7452452097351255,25
185.0,0.5441292554696588,24
186.0,0.8815455635403437,24
187.0,0.6451284742964527,24
188.0,0.8218177456312475,24
189.0,0.8541123590912267,24
190.0,0.859806980910096,24
191.0,0.7048210945963466,24
192.0,0.9646595707140636,24
193.0,0.8274898712091615,24
194.0,0.7512274116998255,24
195.0,0.6694455647441512,23
196.0,0.5625532554693556,23
197.0,0.8351605448493662,23
198.0,0.9481490953178325,23
199.0,0.7814977204438783,23
200.0,0.8955627666714644,23
201.0,0.5486132566223286,23
202.0,0.8425385305641765,22
203.0,0.9381462248872497,22
204.0,0.6985762686638938,22
205.0,0.8224832131630575,22
206.0,0.8373780372264001,22
207.0,0.7159675872469392,22
208.0,0.9266072979691167,22
209.0,0.8087099023897392,22
210.0,0.9102909814441695,22
211.0,0.90068906700964,22
212.0,0.5238555282314926,21
213.0,0.6851816606636809,21
214.0,0.8525023629332047,21
215.0,0.9674298827777842,21
216.0,0.8893514136385314,21
217.0,0.8862394397050385,21
218.0,0.9271532560604437,21
219.0,0.8642457371615864,21
220.0,0.938682506824601,21
221.0,0.7417287596744584,21
222.0,0.8921071841404236,21
223.0,0.8709193246791157,20
224.0,0.8566694419810966,20
225.0,0.9590870495111823,20
226.0,0.8587432393135004,20
227.0,0.8572490305576869,20
228.0,0.859022977742972,20
229.0,0.851318158331325,20
230.0,0.8323449901361901,20
231.0,0.810053623375398,20
232.0,0.8824327051505136,20
233.0,0.9553562625852104,19
234.0,0.8720518730912539,19
235.0,0.9259530396571091,19
236.0,0.8871931933049135,19
237.0,0.7732027472367259,19
238.0,0.8825987327838564,19
239.0,0.8984675205396421,19
240.0,0.7743428840036689,19
241.0,0.7728242447100597,19
242.0,0.9096693933064289,18
243.0,0.8928300124491777,18
244.0,0.8353843136150583,18
245.0,0.863045215026516,18
246.0,0.8746222689248919,18
247.0,0.8822817779135995,18
248.0,0.8212419584645466,18
249.0,0.8843845537247368,18
250.0,0.8239771229402657,17
251.0,0.9078090807079221,17
252.0,0.8512415518543333,17
253.0,0.9996892973240672,17
254.0,0.9452286748298616,17
255.0,0.8742825876494639,17
256.0,0.9242364395235666,17
257.0,0.8179919512801133,16
258.0,0.8866746748879765,16
259.0,0.8894435233604729,16
260.0,0.9225658242480198,16
261.0,0.988216011462042,16
262.0,0.9780946086847091,16
263.0,0.9998215597277096,16
264.0,0.8286148155643187,16
265.0,0.9585178499694871,16
266.0,0.9832843311083022,16
267.0,0.8089097030148488,16
268.0,0.9168200044462096,16
269.0,0.9629816411099379,16
270.0,0.9656796788383767,16
271.0,0.9705163182192025,15
272.0,0.9681586523243751,15
273.0,0.9571558851473999,15
274.0,0.9576027420783398,15
275.0,0.9287368310123003,15
276.0,0.8301579194862925,15
277.0,0.9508795666723527,15
278.0,0.9309401343497581,15
279.0,0.916255813984155,15
280.0,0.9113113788858986,15
281.0,0.9048540754255584,15
282.0,0.9428078332633226,15
283.0,0.8655731340538986,15
284.0,0.9522291971904181,14
285.0,0.9745238988802195,14
286.0,0.9857308968638717,14
287.0,0.9101833645261594,14
288.0,0.9638306353266604,14
289.0,0.9790749007122732,14
290.0,0.9096147779806506,14
291.0,0.9811595507857317,14
292.0,0.9727664294811368,14
293.0,0.922333708925155,14
294.0,0.9899930846203683,14
295.0,0.87479841115079,14
296.0,0.9058551059479131,14
297.0,0.9726976711737015,14
298.0,0.9546997623632646,14
299.0,0.9852813400756063,14
300.0,0.9854008598203254,14
301.0,0.9748306957825666,14
302.0,0.9164049204781775,14
303.0,0.840771542594657,14
304.0,0.9939201262967177,13
305.0,0.9904546561546929,13
306.0,0.9975187912457671,13
