topic,probability,count
-1.0,0.0,66
0.0,0.8144507443935947,268
1.0,0.8843917692271627,164
2.0,0.5266183309208599,41
3.0,0.6551157898548365,36
4.0,0.8008436116859654,34
5.0,0.8657810385417902,31
6.0,0.8161838798982592,27
7.0,0.6392363663636869,25
8.0,0.7261227884289605,24
9.0,0.8773256440018496,19
10.0,0.9142422933634545,19
11.0,0.8692636131251313,16
12.0,0.9532467429438295,16
13.0,0.9834090519472394,13
14.0,0.9683137301285174,12
15.0,1.0,11
16.0,0.9990972338763175,11
17.0,0.9988338950466479,11
