topic,probability,count,topic_words
-1.0,0.0,104,
0.0,0.8314591889819724,358,the and of to in for is namibia are that as on be development with
1.0,0.8074775991784503,194,12 30 196 177 193 192 191 189 188 187 186 181 180 179 178
