topic,probability,count,topic_words
-1.0,0.0,1,
0.0,1.0,134,and the of to in for will be nst1 with 2017 national by transformation 2024
1.0,0.5564983579633094,14,10 11 12 15           
2.0,0.5891029785083096,14,33 34 31 25 20 30 35 10       
3.0,0.717247554770762,10,2020 2022 2019 2018 2023 2021 202 2017 2050 vision 2024    
4.0,0.8178763823137665,8,47 24 29 48 19 21 28 26 27 16 22 20 18 industry trade
5.0,0.9152016886147405,8,27 21 23 26 24 22         
