topic,probability,count,topic_words
-1.0,0.0,8,
0.0,0.9902857891772839,68,the and of to in for ghana on sdgs with percent 2017 development is national
1.0,0.975996838349991,19,development national and ghana programme rights human council technology health education science african authority innovation
2.0,0.9288684811733536,15,coordinating committe syste planning structures decentralised role commissio augment counci decentralise plannig supervisory rol ministeria
3.0,0.9397249488803177,10,agencie regiona educatio ncce developmen civic team 23 male 21 national 27 25 un 30
4.0,0.821114452788703,6,coordinating committee implementation            
